country,year,population,gdp,co2,co2_growth_abs,gdp_per_capita,real_co2,gdp_per_capita_over_co2,gdp_over_co2,co2_over_gdp_per_capita,co2_over_gdp,co2_over_population,co2_over_gdp_over_population
Philippines,1991,63039752,228447698944,43.472,2.122,3623.867348716727,43472000.0,83.3609529977164,5255053803.459698,11996.024086089734,0.19029300886351413,0.6895966215095516,3.0186192493827407e-09
Philippines,1992,64543524,230919372800,48.293,4.821,3577.7310950669503,48293000.0,74.0838443473578,4781632385.645953,13498.219602526135,0.20913360111118404,0.7482237877188113,3.2401949591594045e-09
Philippines,1993,66083324,237660504064,48.929,0.636,3596.3763575815283,48929000.0,73.5019386781158,4857252428.294059,13605.083321397293,0.20587770859403642,0.7404137237406521,3.1154260429459694e-09
Philippines,1994,67650288,250039762944,54.158,5.229,3696.0635399512266,54158000.0,68.24593854926745,4616857397.688246,14652.886622375185,0.21659754977503104,0.8005583065662633,3.2017239863787577e-09
Philippines,1995,69250472,263686193152,59.965,5.806,3807.716908442155,59965000.0,63.49898955127415,4397334997.948803,15748.28209183581,0.22741046576311869,0.8659146756429328,3.2838832602197816e-09
Philippines,1996,70944968,281310527488,61.265,1.3,3965.1935213784295,61265000.0,64.72200312378078,4591700440.512527,15450.696080705364,0.21778424201566152,0.8635566654988132,3.069763059385149e-09
Philippines,1997,72718832,298146725888,70.069,8.804,4099.993326185437,70069000.0,58.5136554850995,4255044682.9268293,17090.027818457693,0.23501515836307288,0.9635605808410124,3.2318335140898975e-09
Philippines,1998,74491928,298757750784,68.264,-1.806,4010.6056965527864,68264000.0,58.75140185973261,4376505197.234267,17020.870453227195,0.22849281674152933,0.9163945924449693,3.0673500186695307e-09
Philippines,1999,76249064,310266101760,68.188,-0.076,4069.113579676204,68188000.0,59.674921975658535,4550156944.916994,16757.45802244871,0.21977263907723132,0.8942798301104391,2.882299500453295e-09
Philippines,2000,77958224,326462603264,72.357,4.169,4187.660858769692,72357000.0,57.87499286550979,4511831657.807814,17278.619840589963,0.22163947501664433,0.9281509542854645,2.843054441782105e-09
Philippines,2001,79626088,338531942400,70.326,-2.031,4251.5204614849345,70326000.0,60.454461528949956,4813752273.696784,16541.376346907466,0.2077381516834968,0.8832030025134476,2.6089207306466793e-09
Philippines,2002,81285576,353568391168,70.267,-0.059,4349.706412463634,70267000.0,61.90254902676411,5031784353.5087595,16154.423617800316,0.19873665676921964,0.8644461103406588,2.444919093262249e-09
Philippines,2003,82942840,374041673728,70.287,0.02,4509.631858856051,70287000.0,64.16025522295801,5321633783.316972,15585.972913059373,0.1879122165705849,0.8474149185149676,2.265562845094102e-09
Philippines,2004,84607504,402137743360,72.806,2.519,4752.979633579546,72806000.0,65.28280132927982,5523414874.598248,15317.970118287381,0.1810474177123507,0.8605146890989717,2.139850594249308e-09
